,age,year,artist
The Old Guitarist,22,1903,Picasso
Family of Saltimbanques,24,1905,Picasso
Les Demoiselles d'Avignon,26,1907,Picasso
Girl Before a Mirror,51,1932,Picasso
Guernica,56,1937,Picasso
The Weeping Woman,56,1937,Picasso
Massacre in Korea,70,1951,Picasso
Les Femmes d'Alger,74,1955,Picasso
The Three Dancers,44,1925,Picasso
Le Rêve,51,1932,Picasso
Science and Charity,16,1897,Picasso
The Absinthe Drinker,20,1901,Picasso
La Vie,22,1903,Picasso
Boy with a Pipe,24,1905,Picasso
Portrait of Gertrude Stein,25,1906,Picasso
Self Portrait,26,1907,Picasso
Bread and Fruit Dish on a Table,28,1909,Picasso
Girl with a Mandolin,29,1910,Picasso
Accordionist,30,1911,Picasso
Violin and Candlestick,29,1910,Picasso
Ma Jolie,31,1912,Picasso
The Blue Room,20,1901,Picasso
The Soup,21,1902,Picasso
La Gommeuse,20,1901,Picasso
Woman Ironing,23,1904,Picasso
The Actor,23,1904,Picasso
Lady with a Fan,24,1905,Picasso
Garçon à la pipe,24,1905,Picasso
At the Lapin Agile,24,1905,Picasso
Portrait of Ambroise Vollard,29,1910,Picasso
Portrait of Daniel-Henry Kahnweiler,29,1910,Picasso
Still Life with Chair Caning,31,1912,Picasso
Sitzende Frau,36,1917,Picasso
Three Women at the Spring,40,1921,Picasso
The Pipes of Pan,42,1923,Picasso
Two Women Running on the Beach,41,1922,Picasso
Paul as Harlequin,43,1924,Picasso
Three Musicians,40,1921,Picasso
The Dance,44,1925,Picasso
The Kiss,44,1925,Picasso
Woman in a Red Armchair,48,1929,Picasso
"Nude, Green Leaves and Bust",51,1932,Picasso
Nude in a Black Armchair,51,1932,Picasso
The Dream and Lie of Franco,56,1937,Picasso
Night Fishing at Antibes,58,1939,Picasso
Dora Maar au Chat,60,1941,Picasso
The Charnel House,64,1945,Picasso
Françoise Gilot,65,1946,Picasso
The Painter and His Model,82,1963,Picasso
Self-Portrait Facing Death,91,1972,Picasso
House of the Hanged Man,34,1873,Cezanne
A Modern Olympia,35,1874,Cezanne
The Black Marble Clock,32,1871,Cezanne
The Bathers,36,mall,Cezanne
Mont Sainte-Victoire,48,1887,Cezanne
Still Life with Soup Tureen,38,1877,Cezanne
Boy in a Red Vest,51,1890,Cezanne
The Basket of Apples,54,1893,Cezanne
The Card Players,56,1895,Cezanne
Still Life with Cherries and Peaches,48,1887,Cezanne
"L'Estaque, Melting Snow",32,1871,Cezanne
Pyramid of Skulls,62,1901,Cezanne
Turn in the Road,42,1881,Cezanne
Still Life with Apples,55,1894,Cezanne
"The Bay of Marseilles, Seen from L'Estaque",46,1885,Cezanne
Portrait of Uncle Dominique,27,1866,Cezanne
Château Noir,65,1904,Cezanne
The Large Bathers,66,1905,Cezanne
Madame Cézanne in a Red Armchair,38,1877,Cezanne
Mont Sainte-Victoire Seen from Bellevue,56,1895,Cezanne
The Great Pine,58,1897,Cezanne
Still Life with Plaster Cupid,56,1895,Cezanne
The House with the Cracked Walls,55,1894,Cezanne
The Red Rock,61,1900,Cezanne
Madame Cézanne in a Yellow Chair,51,1890,Cezanne
The Smoker,53,1892,Cezanne
The Gardener Vallier,67,1906,Cezanne
Jas de Bouffan,35,1874,Cezanne
The Eternal Feminine,38,1877,Cezanne
Self-Portrait,36,1875,Cezanne
Still Life with Curtain and Flowered Pitcher,56,1895,Cezanne
The Pond,40,1879,Cezanne
Portrait of Victor Chocquet,38,1877,Cezanne
Bathers,36,1875,Cezanne
The Sea at L'Estaque behind Trees,40,1879,Cezanne
Chestnut Trees at Jas de Bouffan,48,1887,Cezanne
Mont Sainte-Victoire and the Viaduct of the Arc River Valley,46,1885,Cezanne
The Green Apple,34,1873,Cezanne
Still Life with a Ginger Jar and Eggplants,55,1894,Cezanne
The Blue Vase,51,1890,Cezanne
"Sugar Bowl, Pears, and Blue Cup",38,1877,Cezanne
The Overture to Tannhauser,30,1869,Cezanne
The Negro Scipio,28,1867,Cezanne
The Hanged Man's House,34,1873,Cezanne
The Gulf of Marseilles Seen from L'Estaque,46,1885,Cezanne
View of Auvers-sur-Oise,36,1875,Cezanne
The Bibémus Quarry,61,1900,Cezanne
"Curtain, Jug, and Fruit Bowl",55,1894,Cezanne
The Bridge at Maincy,41,1880,Cezanne
Landscape with Watermill,53,1892,Cezanne
